EmployeeID,Age,TenureMonths,Department,Gender,PerformanceScore,Satisfaction,Engagement,Motivation,Stress,WorkLifeBalance,OvertimeHours,TrainingHoursLastYear,AbsenteeismDays,PeerRating,ManagerRating,ProjectLoad,Attrition,PromotionReady,WillImprove,tenure_event_months,event_observed,Experience_Years,Age_Category,Performance_Category,Prediction
1,50,37,Engineering,Female,75.188,3.2574810318243546,3.5235300628006674,4.110438293928201,1.006,3.2975379995179974,0.3,17.6,1.9,3.7,3.2,1,0,No,0,37,0,3.0833333333333335,35-50,,No
2,36,1,Sales,Male,83.59874696607437,2.433004670223779,2.4010868112510173,3.897830500502192,4.700626516962815,2.944860479934797,17.1,14.4,3.3,2.3,2.5,4,0,No,0,1,0,0.08333333333333333,35-50,,No
3,29,15,Support,Male,66.66309898789059,3.403835957478199,2.871389878119385,3.1832734613901628,2.7684505060547044,3.657035122362525,10.0,31.5,2.6,4.2,2.9,7,0,No,0,14,0,1.25,25-35,,No
4,42,37,Support,Female,78.4,3.0464092040311805,5.0,4.520811300565838,5.0,3.1257075477355887,8.3,16.8,4.8,3.2,3.1,2,1,Yes,1,37,1,3.0833333333333335,35-50,,Yes
5,40,13,Engineering,Female,63.85410014696101,3.508235139561192,3.13016913914242,3.362578508489896,3.822949926519495,3.2233415169560984,11.0,9.3,0.2,4.2,3.4,7,0,Yes,0,13,0,1.0833333333333333,35-50,,Yes
6,44,104,Engineering,Male,74.44380357329796,3.2389878109618384,5.0,3.592284726540164,3.378098213351024,2.5231085164850264,6.5,28.7,1.5,3.5,3.2,7,0,No,0,12,0,8.666666666666666,35-50,,No
7,32,8,Support,Female,69.66445538856199,3.3712064244153788,2.480973965388099,3.6866686933616455,2.4677723057190004,3.9610762965820383,12.7,24.5,2.8,3.7,3.7,2,0,No,0,8,0,0.6666666666666666,25-35,,No
8,32,5,Sales,Female,71.58070007137484,2.819358452380969,2.651877869334051,3.4192378062895297,1.85964996431258,4.789537999321858,5.3,16.2,9.0,2.9,2.9,7,0,No,0,5,0,0.4166666666666667,25-35,,No
9,45,60,Sales,Male,64.65405685220611,4.303173277466949,3.292891901078921,3.888692052599657,3.422971573896945,2.5370952457064684,5.0,15.7,0.4,3.2,3.2,4,0,No,0,12,0,5.0,35-50,,No
10,57,73,Engineering,Female,85.29102801854596,3.5158451636346584,3.54262507048874,4.621212116746401,2.904485990727018,2.042650479167724,8.8,9.0,2.9,4.0,3.4,6,0,Yes,0,5,0,6.083333333333333,50+,,Yes
11,45,1,HR,Female,63.698540630970605,3.437946613037513,4.430778563205116,2.786014481505262,1.750729684514699,3.318002897844717,14.5,28.7,1.4,3.4,3.7,4,0,No,1,1,0,0.08333333333333333,35-50,,No
12,24,36,Support,Male,63.96971683301664,2.8927995092270438,4.005693375467639,4.090816110779207,1.5651415834916813,3.2742099050682625,14.1,15.7,1.5,2.6,4.3,6,0,No,0,36,0,3.0,<25,,No
13,43,35,Product,Male,96.47340745828716,2.241092448980452,3.225316268390375,3.837726935685153,2.013296270856416,4.353839507508324,8.6,10.8,9.3,3.6,4.3,6,0,No,0,3,0,2.9166666666666665,35-50,,No
14,23,66,Finance,Female,77.13406554946754,4.465519108759409,3.480015774133705,3.823011063635765,4.782967225266231,2.1937245428593206,8.1,4.6,4.9,3.8,3.8,3,0,No,0,40,0,5.5,<25,,No
15,45,63,HR,Female,37.4,3.679638708131807,3.31284337219377,4.397475655899273,5.0,2.815840342478312,9.2,24.7,1.8,4.6,3.9,6,0,No,0,7,0,5.25,35-50,,No
